"cod_ibge7";"municipio";"uf";"latlong"
"1100908";Castanheiras;RO;-11.4253,-61.9481999999999999
"1100924";Chupinguaia;RO;-12.5610999999999997,-60.8877000000000024
"1100940";Cujubim;RO;-9.36064999999999969,-62.5846000000000018
"1101005";Governador Jorge Teixeira;RO;-10.6099999999999994,-62.7370999999999981
"1101104";Itapuã do Oeste;RO;-9.19687000000000054,-63.1809000000000012
"1101203";Ministro Andreazza;RO;-11.1959999999999997,-61.5174000000000021
"1101302";Mirante da Serra;RO;-11.0289999999999999,-62.6696000000000026
"1101401";Monte Negro;RO;-10.2457999999999991,-63.2899999999999991
"1101435";Nova União;RO;-10.9068000000000005,-62.5563999999999965
"1101450";Parecis;RO;-12.1753999999999998,-61.6032000000000011
"1101468";Pimenteiras do Oeste;RO;-13.4823000000000004,-61.0471000000000004
"1101476";Primavera de Rondônia;RO;-11.8294999999999995,-61.3153000000000006
"1101484";São Felipe D Oeste;RO;-11.9023000000000003,-61.502600000000001
"1101492";São Francisco do Guaporé;RO;-12.0519999999999996,-63.5679999999999978
"1101500";Seringueiras;RO;-11.8055000000000003,-63.0182000000000002
"1101559";Teixeirópolis;RO;-10.9055999999999997,-62.2419999999999973
"1101609";Theobroma;RO;-10.2483000000000004,-62.3537999999999997
"1101708";Urupá;RO;-11.1260999999999992,-62.363900000000001
"1101757";Vale do Anari;RO;-9.86214999999999975,-62.1876000000000033
"1101807";Vale do Paraíso;RO;-10.4465000000000003,-62.1351999999999975
"1200013";Acrelândia;AC;-9.8258100000000006,-66.897199999999998
"1200054";Assis Brasil;AC;-10.9298000000000002,-69.5738000000000056
"1200104";Brasiléia;AC;-10.9949999999999992,-68.7497000000000043
"1200138";Bujari;AC;-9.81527999999999956,-67.9549999999999983
"1200179";Capixaba;AC;-10.5660000000000007,-67.686000000000007
"1200203";Cruzeiro do Sul;AC;-7.62762000000000029,-72.6756000000000029
"1200252";Epitaciolândia;AC;-11.0188000000000006,-68.734099999999998
"1200302";Feijó;AC;-8.1705400000000008,-70.3509999999999991
"1200328";Jordão;AC;-9.43091000000000079,-71.8974000000000046
"1200336";Mâncio Lima;AC;-7.61657000000000028,-72.8996999999999957
"1200344";Manoel Urbano;AC;-8.83291000000000004,-69.2678999999999974
"1200351";Marechal Thaumaturgo;AC;-8.93898000000000081,-72.7997000000000014
"1200385";Plácido de Castro;AC;-10.2805999999999997,-67.1371000000000038
"1200393";Porto Walter;AC;-8.26323000000000008,-72.7536999999999949
"1200401";Rio Branco;AC;-9.97499000000000002,-67.8242999999999938
"1200427";Rodrigues Alves;AC;-7.73864000000000019,-72.6610000000000014
"1200435";Santa Rosa do Purus;AC;-9.44651999999999958,-70.4902000000000015
"1200450";Senador Guiomard;AC;-10.1496999999999993,-67.7361999999999966
"1200500";Sena Madureira;AC;-9.06596000000000046,-68.6570999999999998
"1200609";Tarauacá;AC;-8.15696999999999939,-70.772199999999998
"1200708";Xapuri;AC;-10.6516000000000002,-68.4968999999999966
"1200807";Porto Acre;AC;-9.58137999999999934,-67.5477999999999952
"1300029";Alvarães;AM;-3.22726999999999986,-64.8007000000000062
"1300060";Amaturá;AM;-3.37455000000000016,-68.2005000000000052
"1300086";Anamã;AM;-3.56696999999999997,-61.3962999999999965
"1300102";Anori;AM;-3.74603000000000019,-61.6574999999999989
"1300144";Apuí;AM;-7.1940900000000001,-59.8960000000000008
"1300201";Atalaia do Norte;AM;-4.37054999999999971,-70.196700000000007
"1300300";Autazes;AM;-3.58573999999999993,-59.1255999999999986
"1300409";Barcelos;AM;-0.983373000000000053,-62.9311000000000007
"1300508";Barreirinha;AM;-2.7988599999999999,-57.0679000000000016
"1300607";Benjamin Constant;AM;-4.37767999999999979,-70.0341999999999985
"1300631";Beruri;AM;-3.89874000000000009,-61.3616000000000028
"1300680";Boa Vista do Ramos;AM;-2.9740899999999999,-57.587299999999999
"1300805";Borba;AM;-4.39154,-59.5874000000000024
"1300839";Caapiranga;AM;-3.31537000000000015,-61.2205999999999975
"1300904";Canutama;AM;-6.5258200000000004,-64.395300000000006
"1301001";Carauari;AM;-4.88161000000000023,-66.908600000000007
"1301100";Careiro;AM;-3.76802999999999999,-60.3689999999999998
"1301159";Careiro da Várzea;AM;-3.31400000000000006,-59.5557000000000016
"1301209";Coari;AM;-4.0941200000000002,-63.1441000000000017
"1301308";Codajás;AM;-3.83052999999999999,-62.065800000000003
"1301407";Eirunepé;AM;-6.65676999999999985,-69.8662000000000063
"1301506";Envira;AM;-7.43789000000000033,-70.0280999999999949
"1301605";Fonte Boa;AM;-2.52342000000000022,-66.0942000000000007
"1301654";Guajará;AM;-7.53796999999999962,-72.5906999999999982
"1301704";Humaitá;AM;-7.51170999999999989,-63.0326999999999984
"1301803";Ipixuna;AM;-7.0479099999999999,-71.6933999999999969
"1301852";Iranduba;AM;-3.27478999999999987,-60.1899999999999977
"1301902";Itacoatiara;AM;-3.1386099999999999,-58.444899999999997
"1301951";Itamarati;AM;-6.43851999999999958,-68.243700000000004
"1302009";Itapiranga;AM;-2.74081000000000019,-58.0292999999999992
"1302108";Japurá;AM;-1.8823700000000001,-66.9291000000000054
"1302207";Juruá;AM;-3.48437999999999981,-66.0717999999999961
"1302306";Jutaí;AM;-2.75814000000000004,-66.7595000000000027
"1302405";Lábrea;AM;-7.26412999999999975,-64.7947999999999951
"1302504";Manacapuru;AM;-3.29065999999999992,-60.6216000000000008
"1302553";Manaquiri;AM;-3.44078000000000017,-60.4611999999999981
"1302603";Manaus;AM;-3.11866000000000021,-60.0212000000000003
"1302702";Manicoré;AM;-5.80461999999999989,-61.2894999999999968
"1302801";Maraã;AM;-1.85312999999999994,-65.5729999999999933
"1302900";Maués;AM;-3.39288999999999996,-57.7066999999999979
"1303007";Nhamundá;AM;-2.20793000000000017,-56.7111999999999981
"1303106";Nova Olinda do Norte;AM;-3.90037000000000011,-59.0940000000000012
